collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Bottom
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       R_AA         v_2
  5.0000000000 0.8181924866 0.0125579778
  8.1724137931 0.6752296682 0.0232461952
 11.3448275862 0.6152079847 0.0276390363
 14.5172413793 0.5826986875 0.0299347286
 17.6896551724 0.5671609376 0.0313424998
 20.8620689655 0.5597630212 0.0323192250
 24.0344827586 0.5563392523 0.0333595022
 27.2068965517 0.5519626429 0.0340276452
 30.3793103448 0.5526360859 0.0343685833
 33.5517241379 0.5549089743 0.0346670912
 36.7241379310 0.5581099651 0.0348316886
 39.8965517241 0.5639946168 0.0347077091
 43.0689655172 0.5690757673 0.0346159606
 46.2445303676 0.5732216600 0.0345218587
 49.4201860960 0.5775341282 0.0344561014
 52.8287871326 0.5836254795 0.0341575927
 56.4139685196 0.5906409389 0.0336447880
 60.4329396788 0.5985483894 0.0331276952
 65.0036211627 0.6076086185 0.0326190550
 70.7236129079 0.6168356491 0.0320438490
 77.0569634778 0.6281069042 0.0313033703
 83.7453094019 0.6388674585 0.0304207914
 90.6810321249 0.6496227929 0.0296187321
 97.8975246361 0.6604177408 0.0288682307
105.4344733230 0.6703529473 0.0280123824
113.3394138844 0.6803721821 0.0272079427
121.6697728549 0.6904454247 0.0264256016
130.4955812688 0.7005998693 0.0255299025
139.9031336236 0.7108934662 0.0246843316
150.0000000000 0.7208904100 0.0238517352
