collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Charm
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       phi          R_AA   
  5.0000000000 0.0000000000 0.3160019893
  5.0000000000 0.1282282716 0.3142444450
  5.0000000000 0.2564565432 0.3091776810
  5.0000000000 0.3846848147 0.3012992856
  5.0000000000 0.5129130863 0.2908618200
  5.0000000000 0.6411413579 0.2800544896
  5.0000000000 0.7693696295 0.2677296044
  5.0000000000 0.8975979010 0.2568259927
  5.0000000000 1.0258261726 0.2475074298
  5.0000000000 1.1540544442 0.2400615884
  5.0000000000 1.2822827158 0.2344264409
  5.0000000000 1.4105109873 0.2312371771
  5.0000000000 1.5387392589 0.2298530307
  5.0000000000 1.6669675305 0.2303742149
  5.0000000000 1.7951958021 0.2324147173
  5.0000000000 1.9234240736 0.2366991910
  5.0000000000 2.0516523452 0.2429257653
  5.0000000000 2.1798806168 0.2518397763
  5.0000000000 2.3081088884 0.2622336720
  5.0000000000 2.4363371599 0.2738206830
  5.0000000000 2.5645654315 0.2854511518
  5.0000000000 2.6927937031 0.2968227481
  5.0000000000 2.8210219747 0.3059665089
  5.0000000000 2.9492502462 0.3122450363
  5.0000000000 3.0774785178 0.3156842871
  5.0000000000 3.2057067894 0.3156842871
  5.0000000000 3.3339350610 0.3122450363
  5.0000000000 3.4621633325 0.3059665089
  5.0000000000 3.5903916041 0.2968227481
  5.0000000000 3.7186198757 0.2854511518
  5.0000000000 3.8468481473 0.2738206830
  5.0000000000 3.9750764188 0.2622336720
  5.0000000000 4.1033046904 0.2518397763
  5.0000000000 4.2315329620 0.2429257653
  5.0000000000 4.3597612336 0.2366991910
  5.0000000000 4.4879895051 0.2324147173
  5.0000000000 4.6162177767 0.2303742149
  5.0000000000 4.7444460483 0.2298530307
  5.0000000000 4.8726743199 0.2312371771
  5.0000000000 5.0009025914 0.2344264409
  5.0000000000 5.1291308630 0.2400615884
  5.0000000000 5.2573591346 0.2475074298
  5.0000000000 5.3855874062 0.2568259927
  5.0000000000 5.5138156777 0.2677296044
