collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Charm
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       R_AA         v_2
  5.0000000000 0.2697048933 0.0803141258
  8.1724137931 0.2472444407 0.0845520250
 11.3448275862 0.2645951306 0.0824430386
 14.5172413793 0.2900074402 0.0787744123
 17.6896551724 0.3176876346 0.0748303777
 20.8620689655 0.3450682600 0.0709597253
 24.0344827586 0.3705354847 0.0673172136
 27.2068965517 0.3914275548 0.0640429802
 30.3793103448 0.4125404665 0.0608943334
 33.5517241379 0.4323454218 0.0581400390
 36.7241379310 0.4508920991 0.0556347379
 39.8965517241 0.4688236484 0.0532477393
 43.0689655172 0.4850816150 0.0510668972
 46.2445303676 0.4996738312 0.0491081984
 49.4201860960 0.5138911851 0.0473438547
 52.8287871326 0.5289979879 0.0456078676
 56.4139685196 0.5423630072 0.0438267979
 60.4329396788 0.5568701663 0.0420170898
 65.0036211627 0.5732273857 0.0401814562
 70.7236129079 0.5908472510 0.0381553163
 77.0569634778 0.6094642231 0.0362049021
 83.7453094019 0.6255315122 0.0343114318
 90.6810321249 0.6414386664 0.0325889513
 97.8975246361 0.6570527016 0.0310381385
105.4344733230 0.6701662025 0.0295915108
113.3394138844 0.6832693309 0.0282370043
121.6697728549 0.6960734565 0.0269741344
130.4955812688 0.7081346751 0.0257146424
139.9031336236 0.7203874053 0.0245195453
150.0000000000 0.7317126427 0.0234300189
