collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Down
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       R_AA         v_2
  5.0000000000 0.1843012614 0.1056492325
  8.9183673469 0.2255629348 0.0942569534
 12.8367346939 0.2752480848 0.0844568980
 16.7551020408 0.3201927187 0.0763833050
 20.6734693878 0.3601181714 0.0697501357
 24.5918367347 0.3954047619 0.0641374046
 28.5102040816 0.4268898150 0.0594292519
 32.4285714286 0.4555343888 0.0553045482
 36.3469387755 0.4814529696 0.0518240930
 40.2653061224 0.5052125286 0.0487316901
 44.1836734694 0.5263394714 0.0460734264
 48.4395075030 0.5462468720 0.0434650914
 53.2260543089 0.5677424972 0.0409544568
 58.0126011148 0.5875357770 0.0387080164
 62.7991479207 0.6043146841 0.0367186908
 67.7246079434 0.6202850808 0.0348953693
 75.5714178823 0.6431700399 0.0323802754
 83.4182278212 0.6628115305 0.0303137506
 91.3722962382 0.6801673684 0.0284648097
 99.4899778061 0.6965685711 0.0268410439
107.6076593741 0.7103712777 0.0254672751
115.9070067025 0.7232747170 0.0241724858
124.2422614151 0.7362156992 0.0230289979
132.6557497856 0.7469343206 0.0219710890
141.2205618007 0.7568516144 0.0210641405
149.7853738158 0.7653965131 0.0202323800
158.5717616449 0.7731775580 0.0194808011
167.3791333120 0.7809469530 0.0187521136
176.3284664345 0.7891785066 0.0181017836
185.3925369991 0.7945463031 0.0175270921
194.5271970404 0.8005371608 0.0169523977
203.8633791667 0.8078422274 0.0164584204
213.2089956246 0.8115407575 0.0160118773
222.8341330449 0.8179183125 0.0154990889
232.4592704652 0.8224389328 0.0150733076
242.3526979973 0.8262543954 0.0147348189
252.2852483370 0.8310809628 0.0142996901
262.4732946228 0.8353124783 0.0139731689
272.7335423844 0.8387225863 0.0136213756
283.2575430927 0.8437045508 0.0133097287
293.8678489728 0.8461197320 0.0130429504
304.7757700277 0.8486569257 0.0127675347
315.7608642666 0.8513510394 0.0125378758
327.1086024945 0.8535282516 0.0122756260
338.5287844168 0.8584347458 0.0120015533
350.3489255115 0.8593313029 0.0118106432
362.3171501791 0.8617655171 0.0115698480
374.6043036001 0.8647273383 0.0113627080
387.2074130355 0.8676352171 0.0111286089
400.0000000000 0.8693723903 0.0109471343
