collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: DownBar
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       R_AA         v_2
  5.0000000000 0.1834249742 0.1059159963
  8.9183673469 0.2235577889 0.0947651824
 12.8367346939 0.2721995379 0.0851393939
 16.7551020408 0.3161735717 0.0771910191
 20.6734693878 0.3552150448 0.0706506705
 24.5918367347 0.3897074565 0.0651060368
 28.5102040816 0.4204880046 0.0604497360
 32.4285714286 0.4485184596 0.0563613825
 36.3469387755 0.4738858704 0.0529080137
 40.2653061224 0.4971539155 0.0498343136
 44.1836734694 0.5178743259 0.0471906863
 48.4395075030 0.5373667244 0.0445905239
 53.2260543089 0.5584989598 0.0420836241
 58.0126011148 0.5779832560 0.0398391284
 62.7991479207 0.5944674453 0.0378461858
 67.7246079434 0.6102106925 0.0360169089
 75.5714178823 0.6328324597 0.0334893471
 83.4182278212 0.6522567953 0.0314084588
 91.3722962382 0.6694906979 0.0295436043
 99.4899778061 0.6857731100 0.0279026055
107.6076593741 0.6995920491 0.0265069115
115.9070067025 0.7125109999 0.0251931498
124.2422614151 0.7253811773 0.0240317224
132.6557497856 0.7361441561 0.0229525807
141.2205618007 0.7461669779 0.0220262693
149.7853738158 0.7547731148 0.0211784834
158.5717616449 0.7625882099 0.0204114697
167.3791333120 0.7704066099 0.0196623280
176.3284664345 0.7787244018 0.0189982996
185.3925369991 0.7841414084 0.0184097751
194.5271970404 0.7902476404 0.0178179797
203.8633791667 0.7976546125 0.0173100209
213.2089956246 0.8013805639 0.0168567578
222.8341330449 0.8077559159 0.0163300793
232.4592704652 0.8124338558 0.0158881803
242.3526979973 0.8164253010 0.0155416782
252.2852483370 0.8212182560 0.0151007542
262.4732946228 0.8254924825 0.0147614783
272.7335423844 0.8288966558 0.0144075240
283.2575430927 0.8341216400 0.0140796509
293.8678489728 0.8364506654 0.0138143630
304.7757700277 0.8390256664 0.0135306723
315.7608642666 0.8416262207 0.0132991260
327.1086024945 0.8438538270 0.0130247107
338.5287844168 0.8489855745 0.0127507162
350.3489255115 0.8498192657 0.0125529736
362.3171501791 0.8521523497 0.0123056196
374.6043036001 0.8552047094 0.0121017129
387.2074130355 0.8582548481 0.0118550418
400.0000000000 0.8597652755 0.0116752288
