collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Gluon
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       phi          R_AA   
  5.0000000000 0.0000000000 0.1002340451
  5.0000000000 0.1282282716 0.0997528222
  5.0000000000 0.2564565432 0.0974633478
  5.0000000000 0.3846848147 0.0938774848
  5.0000000000 0.5129130863 0.0897546282
  5.0000000000 0.6411413579 0.0853209907
  5.0000000000 0.7693696295 0.0795976492
  5.0000000000 0.8975979010 0.0752703672
  5.0000000000 1.0258261726 0.0715506812
  5.0000000000 1.1540544442 0.0678007063
  5.0000000000 1.2822827158 0.0651979091
  5.0000000000 1.4105109873 0.0638025576
  5.0000000000 1.5387392589 0.0630050496
  5.0000000000 1.6669675305 0.0633184128
  5.0000000000 1.7951958021 0.0638573074
  5.0000000000 1.9234240736 0.0662840242
  5.0000000000 2.0516523452 0.0689840059
  5.0000000000 2.1798806168 0.0734443085
  5.0000000000 2.3081088884 0.0776239895
  5.0000000000 2.4363371599 0.0826974155
  5.0000000000 2.5645654315 0.0876325309
  5.0000000000 2.6927937031 0.0923024360
  5.0000000000 2.8210219747 0.0962734412
  5.0000000000 2.9492502462 0.0985616109
  5.0000000000 3.0774785178 0.1004243108
  5.0000000000 3.2057067894 0.1004243108
  5.0000000000 3.3339350610 0.0985616109
  5.0000000000 3.4621633325 0.0962734412
  5.0000000000 3.5903916041 0.0923024360
  5.0000000000 3.7186198757 0.0876325309
  5.0000000000 3.8468481473 0.0826974155
  5.0000000000 3.9750764188 0.0776239895
  5.0000000000 4.1033046904 0.0734443085
  5.0000000000 4.2315329620 0.0689840059
  5.0000000000 4.3597612336 0.0662840242
  5.0000000000 4.4879895051 0.0638573074
  5.0000000000 4.6162177767 0.0633184128
  5.0000000000 4.7444460483 0.0630050496
  5.0000000000 4.8726743199 0.0638025576
  5.0000000000 5.0009025914 0.0651979091
  5.0000000000 5.1291308630 0.0678007063
  5.0000000000 5.2573591346 0.0715506812
  5.0000000000 5.3855874062 0.0752703672
  5.0000000000 5.5138156777 0.0795976492
