collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Gluon
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       R_AA         v_2
  5.0000000000 0.0805702686 0.1162328558
  8.9183673469 0.1013980924 0.1160959189
 12.8367346939 0.1274120808 0.1137778645
 16.7551020408 0.1520977199 0.1099095825
 20.6734693878 0.1758157032 0.1056661623
 24.5918367347 0.1983444542 0.1014643503
 28.5102040816 0.2194059641 0.0973986297
 32.4285714286 0.2394778859 0.0936250167
 36.3469387755 0.2586132012 0.0900724871
 40.2653061224 0.2768053827 0.0868734604
 44.1836734694 0.2935826999 0.0837876509
 48.4395075030 0.3105204786 0.0807143720
 53.2260543089 0.3291085144 0.0776026935
 58.0126011148 0.3467216469 0.0747322526
 62.7991479207 0.3622853023 0.0721344736
 67.7246079434 0.3774402067 0.0696566719
 75.5714178823 0.4008184037 0.0660028151
 83.4182278212 0.4209813697 0.0630426246
 91.3722962382 0.4398653316 0.0602204754
 99.4899778061 0.4587036843 0.0575599184
107.6076593741 0.4747547513 0.0553788559
115.9070067025 0.4903577098 0.0531954323
124.2422614151 0.5060497141 0.0512361581
132.6557497856 0.5193989031 0.0494980873
141.2205618007 0.5324679749 0.0478580985
149.7853738158 0.5444180675 0.0463507284
158.5717616449 0.5548893959 0.0450252411
167.3791333120 0.5655822077 0.0437146435
176.3284664345 0.5766251780 0.0424869282
185.3925369991 0.5849105896 0.0413942986
194.5271970404 0.5938415633 0.0402659353
203.8633791667 0.6033524188 0.0393303759
213.2089956246 0.6097810430 0.0384719390
222.8341330449 0.6187833313 0.0374737796
232.4592704652 0.6267437460 0.0366080444
242.3526979973 0.6337768078 0.0358340813
252.2852483370 0.6410595574 0.0349890824
262.4732946228 0.6474261627 0.0343607764
272.7335423844 0.6528691710 0.0336658420
283.2575430927 0.6602724520 0.0330079430
293.8678489728 0.6650793557 0.0324250396
304.7757700277 0.6697250437 0.0318733375
315.7608642666 0.6741789925 0.0313019580
327.1086024945 0.6786997969 0.0307134185
338.5287844168 0.6862979727 0.0302181729
350.3489255115 0.6893981675 0.0297300483
362.3171501791 0.6935386914 0.0292006040
374.6043036001 0.6982309753 0.0287678429
387.2074130355 0.7029725948 0.0282865120
400.0000000000 0.7067190720 0.0278387272
