collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Strange
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       R_AA         v_2
  5.0000000000 0.1856539769 0.1053344602
  8.9183673469 0.2248333540 0.0945621535
 12.8367346939 0.2725116144 0.0851370476
 16.7551020408 0.3157372020 0.0773208767
 20.6734693878 0.3541574516 0.0708738086
 24.5918367347 0.3881220325 0.0653970229
 28.5102040816 0.4184484271 0.0607917686
 32.4285714286 0.4460863213 0.0567416270
 36.3469387755 0.4711083379 0.0533181640
 40.2653061224 0.4940715430 0.0502672336
 44.1836734694 0.5145302622 0.0476421611
 48.4395075030 0.5337635385 0.0450568660
 53.2260543089 0.5546578850 0.0425618652
 58.0126011148 0.5739386388 0.0403267281
 62.7991479207 0.5902316605 0.0383395440
 67.7246079434 0.6058184922 0.0365138009
 75.5714178823 0.6282512965 0.0339884490
 83.4182278212 0.6475174669 0.0319068431
 91.3722962382 0.6646528353 0.0300389744
 99.4899778061 0.6808495544 0.0283930077
107.6076593741 0.6946580739 0.0269887484
115.9070067025 0.7075783119 0.0256666266
124.2422614151 0.7204043309 0.0244970134
132.6557497856 0.7311989053 0.0234066444
141.2205618007 0.7412931724 0.0224692693
149.7853738158 0.7499545668 0.0216116248
158.5717616449 0.7578174672 0.0208343053
167.3791333120 0.7657100513 0.0200710338
176.3284664345 0.7741106923 0.0193967089
185.3925369991 0.7795975601 0.0187973854
194.5271970404 0.7858255128 0.0181922174
203.8633791667 0.7933516933 0.0176718145
213.2089956246 0.7971595109 0.0172093273
222.8341330449 0.8036165841 0.0166700962
232.4592704652 0.8084481232 0.0162137422
242.3526979973 0.8125946466 0.0158567829
252.2852483370 0.8174716536 0.0154056869
262.4732946228 0.8218554445 0.0150538613
272.7335423844 0.8253715223 0.0146903549
283.2575430927 0.8307928117 0.0143479916
293.8678489728 0.8331964354 0.0140744347
304.7757700277 0.8358942862 0.0137787675
315.7608642666 0.8385793298 0.0135380277
327.1086024945 0.8409335171 0.0132502397
338.5287844168 0.8462619042 0.0129669929
350.3489255115 0.8471902096 0.0127576641
362.3171501791 0.8496218706 0.0124986113
374.6043036001 0.8528359900 0.0122852933
387.2074130355 0.8560420596 0.0120255592
400.0000000000 0.8576477807 0.0118356289
