collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: StrangeBar
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       R_AA         v_2
  5.0000000000 0.1838034767 0.1056806404
  8.9183673469 0.2238958723 0.0950147306
 12.8367346939 0.2724561083 0.0853760280
 16.7551020408 0.3153294237 0.0773940037
 20.6734693878 0.3538580658 0.0708907328
 24.5918367347 0.3883370180 0.0653013781
 28.5102040816 0.4186681385 0.0606017801
 32.4285714286 0.4463856469 0.0565843758
 36.3469387755 0.4714698704 0.0531230638
 40.2653061224 0.4947176739 0.0500569822
 44.1836734694 0.5148082618 0.0474663177
 48.4395075030 0.5342518910 0.0448625510
 53.2260543089 0.5553919286 0.0423478016
 58.0126011148 0.5747243776 0.0401193992
 62.7991479207 0.5908571254 0.0381224979
 67.7246079434 0.6060488779 0.0363823123
 75.5714178823 0.6286472458 0.0338539655
 83.4182278212 0.6482548906 0.0317677266
 91.3722962382 0.6650246226 0.0299727217
 99.4899778061 0.6816282995 0.0282406464
107.6076593741 0.6957445043 0.0268089302
115.9070067025 0.7083086014 0.0255434290
124.2422614151 0.7215439921 0.0242831723
132.6557497856 0.7320928829 0.0232093002
141.2205618007 0.7423030244 0.0222946832
149.7853738158 0.7512591890 0.0213913809
158.5717616449 0.7591306034 0.0206437569
167.3791333120 0.7669290609 0.0198876665
176.3284664345 0.7753834092 0.0191944518
185.3925369991 0.7808598020 0.0186073013
194.5271970404 0.7867086262 0.0180405157
203.8633791667 0.7943484793 0.0175129511
213.2089956246 0.7981351709 0.0170615243
222.8341330449 0.8041609746 0.0165163460
232.4592704652 0.8095268855 0.0160014039
242.3526979973 0.8145178635 0.0156379990
252.2852483370 0.8189915080 0.0152426239
262.4732946228 0.8233963673 0.0148382630
272.7335423844 0.8263037673 0.0145098828
283.2575430927 0.8318872552 0.0141671515
293.8678489728 0.8347530888 0.0138877279
304.7757700277 0.8372913765 0.0135958300
315.7608642666 0.8397189763 0.0133963605
327.1086024945 0.8418124740 0.0131276472
338.5287844168 0.8479346342 0.0127509946
350.3489255115 0.8489978951 0.0125665310
362.3171501791 0.8509839930 0.0123510196
374.6043036001 0.8542696452 0.0121246120
387.2074130355 0.8569550546 0.0118849048
400.0000000000 0.8589135206 0.0116548765
