collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Up
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       R_AA         v_2
  5.0000000000 0.1848751099 0.1054749548
  8.9183673469 0.2268575214 0.0939302498
 12.8367346939 0.2771969845 0.0840239326
 16.7551020408 0.3227348343 0.0758778280
 20.6734693878 0.3631827203 0.0691943069
 24.5918367347 0.3989230722 0.0635475591
 28.5102040816 0.4307935419 0.0588161114
 32.4285714286 0.4597616210 0.0546780703
 36.3469387755 0.4859582115 0.0511890517
 40.2653061224 0.5099501543 0.0480938241
 44.1836734694 0.5312638437 0.0454351465
 48.4395075030 0.5513455000 0.0428297433
 53.2260543089 0.5729792954 0.0403257514
 58.0126011148 0.5928727673 0.0380869671
 62.7991479207 0.6097493592 0.0361066407
 67.7246079434 0.6257813964 0.0342934432
 75.5714178823 0.6487208744 0.0317955769
 83.4182278212 0.6683590709 0.0297473147
 91.3722962382 0.6856898781 0.0279158534
 99.4899778061 0.7020496527 0.0263104628
107.6076593741 0.7157783232 0.0249539165
115.9070067025 0.7285926378 0.0236759715
124.2422614151 0.7414811125 0.0225482279
132.6557497856 0.7521191059 0.0215056404
141.2205618007 0.7619367329 0.0206133239
149.7853738158 0.7703874604 0.0197951879
158.5717616449 0.7780749111 0.0190566608
167.3791333120 0.7857571522 0.0183408212
176.3284664345 0.7939029010 0.0177022448
185.3925369991 0.7991753919 0.0171384234
194.5271970404 0.8050738992 0.0165747995
203.8633791667 0.8122940455 0.0160912446
213.2089956246 0.8159079787 0.0156533882
222.8341330449 0.8222157014 0.0151504014
232.4592704652 0.8266447096 0.0147340399
242.3526979973 0.8303599887 0.0144034654
252.2852483370 0.8351302402 0.0139755407
262.4732946228 0.8392868055 0.0136577576
272.7335423844 0.8426378592 0.0133118642
283.2575430927 0.8475178210 0.0130088052
293.8678489728 0.8498869635 0.0127470986
304.7757700277 0.8523538241 0.0124783225
315.7608642666 0.8550036674 0.0122544841
327.1086024945 0.8571072833 0.0119991627
338.5287844168 0.8619322534 0.0117300383
350.3489255115 0.8627769060 0.0115450574
362.3171501791 0.8651747266 0.0113094774
374.6043036001 0.8680690243 0.0111065892
387.2074130355 0.8709049313 0.0108787356
400.0000000000 0.8726229742 0.0107011646
