collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: UpBar
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       R_AA         v_2
  5.0000000000 0.1833487937 0.1059402952
  8.9183673469 0.2233465377 0.0948222176
 12.8367346939 0.2718254460 0.0852279637
 16.7551020408 0.3156182710 0.0773083365
 20.6734693878 0.3544690098 0.0707939783
 24.5918367347 0.3887677062 0.0652725509
 28.5102040816 0.4193552486 0.0606373008
 32.4285714286 0.4471978389 0.0565675642
 36.3469387755 0.4723816358 0.0531306881
 40.2653061224 0.4954715990 0.0500717882
 44.1836734694 0.5160286723 0.0474418867
 48.4395075030 0.5353426490 0.0448543539
 53.2260543089 0.5562960017 0.0423599996
 58.0126011148 0.5756131103 0.0401270818
 62.7991479207 0.5919356118 0.0381431470
 67.7246079434 0.6075323253 0.0363218216
 75.5714178823 0.6299603033 0.0338048233
 83.4182278212 0.6491879473 0.0317327354
 91.3722962382 0.6662782467 0.0298743066
 99.4899778061 0.6824160230 0.0282385561
107.6076593741 0.6961624325 0.0268434210
115.9070067025 0.7090103708 0.0255305761
124.2422614151 0.7217702476 0.0243698289
132.6557497856 0.7325038226 0.0232873669
141.2205618007 0.7425331770 0.0223576625
149.7853738158 0.7511311072 0.0215073534
158.5717616449 0.7589257665 0.0207368804
167.3791333120 0.7667613018 0.0199791229
176.3284664345 0.7751108726 0.0193106939
185.3925369991 0.7805384490 0.0187165727
194.5271970404 0.7867291619 0.0181155196
203.8633791667 0.7942165499 0.0175991280
213.2089956246 0.7979829851 0.0171404841
222.8341330449 0.8044000690 0.0166043932
232.4592704652 0.8092191259 0.0161498064
242.3526979973 0.8133505092 0.0157951825
252.2852483370 0.8182026071 0.0153460415
262.4732946228 0.8225691218 0.0149954730
272.7335423844 0.8260764165 0.0146333928
283.2575430927 0.8315195142 0.0142906669
293.8678489728 0.8339011127 0.0140181329
304.7757700277 0.8366051163 0.0137220998
315.7608642666 0.8392864858 0.0134812106
327.1086024945 0.8416535262 0.0131918833
338.5287844168 0.8470214618 0.0129082583
350.3489255115 0.8479552964 0.0126970634
362.3171501791 0.8504068179 0.0124360389
374.6043036001 0.8536673430 0.0122206019
387.2074130355 0.8569012446 0.0119584120
400.0000000000 0.8585498548 0.0117659300
